server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;0;0.0;16.0;1;1;16.0;16.0
2;0;0.0;27.0;2;10;25.0;27.0
3;1;1.0;9.0;6;1;9.0;8.0
5;1;1.0;7.0;7;25;3.0;6.0
7;1;1.0;7.0;5;10;6.0;6.0
8;1;1.0;6.0;3;14;7.0;5.0
10;1;1.0;17.0;4;18;15.0;16.0
11;2;2.0;20.0;8;4;18.0;18.0
14;3;3.0;15.0;9;10;10.0;12.0
16;3;3.0;14.0;10;16;11.0;11.0
18;3;3.0;7.0;12;14;1.0;4.0
19;3;3.0;7.0;13;1;2.0;4.0
15;3;3.0;8.0;11;21;7.0;5.0
12;3;3.2047925431332764;11.204792543133276;14;26;10.0;8.0
8;5;6.0;11.0;16;14;7.0;5.0
1;4;6.83434003204362;7.83434003204362;15;6;1.0;1.0
18;6;7.0;15.0;20;1;8.0;8.0
19;5;7.0;15.0;17;23;5.0;8.0
5;5;7.0;12.0;19;3;6.0;5.0
7;5;7.0;29.0;18;5;24.0;22.0
1;10;10.0;20.0;24;22;9.0;10.0
15;10;10.0;16.0;21;19;7.0;6.0
3;10;10.0;21.0;23;22;9.0;11.0
9;10;10.303818466044131;19.30381846604413;22;23;7.0;9.0
8;11;11.0;30.0;27;23;16.0;19.0
12;11;11.204792543133276;19.204792543133276;28;14;5.0;8.0
6;11;11.666234194732494;22.666234194732496;26;24;13.0;11.000000000000002
5;11;12.0;23.0;25;16;11.0;11.0
16;13;14.0;16.0;30;2;1.0;2.0
4;13;14.05674156290746;21.05674156290746;32;23;10.0;7.000000000000002
18;14;15.0;22.0;33;13;9.0;7.0
19;11;15.0;24.0;29;10;9.0;9.0
14;15;15.0;22.0;36;13;7.0;7.0
13;15;15.699266526282946;16.699266526282948;35;12;1.0;1.0000000000000018
15;15;16.0;26.0;37;21;7.0;10.0
16;15;16.0;43.0;34;20;25.0;27.0
17;17;17.0;33.0;38;1;16.0;16.0
13;17;17.0;41.0;40;20;22.0;24.0
0;17;17.0;30.0;39;11;13.0;13.0
10;18;18.0;19.0;42;10;1.0;1.0
10;18;19.0;23.0;41;11;2.0;4.0
9;20;20.0;38.0;45;3;16.0;18.0
1;20;20.0;25.0;44;1;3.0;5.0
12;20;20.0;39.0;43;4;16.0;19.0
11;20;20.0;21.0;47;25;2.0;1.0
3;20;21.0;31.0;46;13;9.0;10.0
11;21;21.0;43.0;48;4;18.0;22.0
4;23;23.0;24.0;51;14;3.0;1.0
6;23;23.0;37.0;50;16;17.0;14.0
18;23;23.0;41.0;49;15;19.0;18.0
1;25;25.0;36.0;52;11;12.0;11.0
14;27;27.0;28.0;53;4;4.0;1.0
14;28;28.0;38.0;55;12;10.0;10.0
10;28;28.0;40.0;56;27;12.0;12.0
