server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;1;1.0;8.0;3;9;6.0;7.0
2;1;1.0;5.0;4;2;6.0;4.0
3;1;1.0;14.0;1;5;13.0;13.0
4;1;1.0;14.0;0;6;12.0;13.0
6;1;1.0;12.0;2;27;14.0;11.0
7;4;4.0;18.0;6;0;15.0;14.0
8;4;4.0;5.0;5;20;1.0;1.0
9;4;4.0;13.0;7;15;10.0;9.0
10;5;5.0;32.0;9;11;25.0;27.0
11;5;5.0;7.0;8;19;1.0;2.0
12;5;5.0;11.0;10;17;5.0;6.0
13;5;5.0;9.0;12;5;3.0;4.0
14;5;5.0;24.0;11;24;17.0;19.0
16;5;5.0;9.0;14;24;3.0;4.0
17;5;5.0;21.0;13;0;18.0;16.0
19;6;6.0;17.0;15;9;9.0;11.0
8;7;7.0;17.0;18;23;7.0;10.0
11;7;7.0;26.0;16;12;16.0;19.0
2;7;7.0;21.0;17;3;14.0;14.0
0;8;8.0;32.0;22;28;24.0;24.0
18;8;8.516612156721557;17.516612156721557;20;27;10.0;9.0
16;8;9.0;19.0;21;11;10.0;10.0
13;8;9.0;13.0;23;21;6.0;4.0
12;11;11.0;32.0;25;8;20.0;21.0
15;11;11.299493338850112;24.299493338850112;24;11;12.0;13.0
6;12;12.0;24.0;26;16;13.0;12.0
13;13;13.0;38.0;27;18;27.0;25.0
9;13;13.0;15.0;28;21;2.0;2.0
3;14;14.0;24.0;29;3;8.0;10.0
4;14;14.0;32.0;31;23;19.0;18.0
9;14;15.0;18.0;30;29;3.0;3.0
8;14;17.0;43.0;32;5;22.0;26.0
18;18;18.0;33.0;33;26;17.0;15.0
19;18;18.0;19.0;34;24;1.0;1.0
1;20;20.0;32.0;35;11;8.0;12.0
5;24;24.0;28.0;41;12;4.0;4.0
19;24;24.0;29.0;36;12;6.0;5.0
7;24;24.0;34.0;37;18;10.0;10.0
9;24;24.0;28.0;40;5;4.0;4.0
16;24;24.0;34.0;38;4;11.0;10.0
17;24;24.0;32.0;39;22;8.0;8.0
15;26;26.0;38.0;45;23;12.0;12.0
2;26;26.0;42.0;44;10;17.0;16.0
14;26;26.0;34.0;43;5;8.0;8.0
11;27;27.0;46.0;46;11;19.0;19.0
5;28;28.0;57.0;47;20;29.0;29.0
19;29;29.0;33.0;48;26;4.0;4.0
1;32;32.0;40.0;49;11;8.0;8.0
9;32;32.0;34.0;50;21;2.0;2.0
3;32;32.0;49.0;51;1;17.0;17.0
9;35;35.0;38.0;54;5;4.0;3.0
19;35;35.0;36.0;52;3;2.0;1.0
6;35;35.0;45.0;53;8;9.0;10.0
19;36;36.0;62.0;57;8;26.0;26.0
7;36;36.0;44.0;56;16;7.0;8.0
16;37;37.0;41.0;59;28;3.0;4.0
17;37;37.0;51.0;58;5;17.0;14.0
9;38;38.0;43.0;66;8;5.0;5.0
18;38;38.0;40.0;62;29;2.0;2.0
15;38;38.0;39.0;64;26;1.0;1.0
10;38;38.0;39.0;67;3;1.0;1.0
12;38;38.0;50.0;63;1;14.0;12.0
14;38;38.0;49.0;65;23;8.0;11.0
0;38;38.0;50.0;61;0;13.0;12.0
1;44;44.0;45.0;83;12;1.0;1.0
15;44;44.0;67.0;70;15;25.0;23.0
18;44;44.0;45.0;71;3;2.0;1.0
9;44;44.0;47.0;72;21;2.0;3.0
10;44;44.0;51.0;78;15;6.0;7.0
16;44;44.0;46.0;76;28;3.0;2.0
4;44;44.0;47.0;80;17;3.0;3.0
7;44;44.0;47.0;79;21;2.0;3.0
13;44;44.0;46.0;81;10;1.0;2.0
8;44;44.0;54.0;69;2;9.0;10.0
1;44;45.0;50.0;68;11;8.0;5.0
18;44;45.0;52.0;74;6;7.0;7.0
6;44;45.0;49.0;84;26;3.0;4.0
16;46;46.0;67.0;94;13;21.0;21.0
13;46;46.0;73.0;90;18;27.0;27.0
11;44;46.0;47.0;77;19;1.0;1.0
9;47;47.0;53.0;100;16;5.0;6.0
4;47;47.0;53.0;98;7;6.0;6.0
7;46;47.0;55.0;88;25;7.0;8.0
11;44;47.0;48.0;85;27;1.0;1.0
11;44;48.0;54.0;73;5;5.0;6.0
6;44;49.0;66.0;75;0;17.0;17.0
14;44;49.0;59.0;82;17;10.0;10.0
3;47;49.0;56.0;97;29;5.0;7.0
1;46;50.0;52.0;93;12;1.0;2.0
12;46;50.0;55.0;89;17;5.0;5.0
0;46;50.0;52.0;92;23;1.0;2.0
10;47;51.0;52.0;101;3;1.0;1.0
17;46;51.0;67.0;95;13;17.0;16.0
1;52;52.0;59.0;110;11;8.0;7.0
18;52;52.0;72.0;119;21;21.0;20.0
10;52;52.0;72.0;117;5;21.0;20.0
0;52;52.0;58.0;108;17;5.0;6.0
9;52;53.0;57.0;104;16;5.0;4.0
4;52;53.0;57.0;118;7;6.0;4.0
8;52;54.0;82.0;114;12;28.0;28.0
11;52;54.0;55.0;109;15;1.0;1.0
7;55;55.0;64.0;130;22;10.0;9.0
12;55;55.0;63.0;126;6;7.0;8.0
11;55;55.0;62.0;131;7;10.0;7.0
3;56;56.0;69.0;134;4;13.0;13.0
5;56;57.0;72.0;135;17;19.0;15.0
9;55;57.0;60.0;127;21;2.0;3.0
4;46;57.0;59.0;86;14;1.0;2.0
0;58;58.0;76.0;139;12;17.0;18.0
2;54;58.89360009002253;59.89360009002253;124;4;1.0;1.0
1;59;59.0;67.0;142;13;9.0;8.0
4;59;59.0;60.0;141;22;3.0;1.0
14;56;59.0;60.0;133;25;1.0;1.0
2;55;59.89360009002253;61.89360009002253;128;14;3.0;2.0
9;60;60.0;68.0;146;4;9.0;8.0
4;47;60.0;65.0;99;17;3.0;5.0
14;52;60.0;65.0;115;22;3.0;5.0
2;52;61.89360009002253;70.89360009002253;103;11;8.0;9.0
19;59;62.0;63.0;144;24;1.0;1.0
11;52;62.0;63.0;112;19;1.0;1.0
19;52;63.0;64.0;105;3;2.0;1.0
12;53;63.0;68.0;121;17;5.0;5.0
11;56;63.0;65.0;132;27;1.0;2.0
19;54;64.0;66.0;125;3;2.0;2.0
7;46;64.0;69.0;87;26;3.0;5.0
4;65;65.0;82.0;151;28;19.0;17.0
14;46;65.0;71.0;96;13;6.0;6.0
11;58;65.0;66.0;138;27;1.0;1.0
19;66;66.0;74.0;155;19;9.0;8.0
6;66;66.0;87.0;154;17;21.0;21.0
11;52;66.0;70.0;111;1;4.0;4.0
1;52;67.0;77.0;116;11;8.0;10.0
15;58;67.0;71.0;140;20;5.0;4.0
16;58;67.0;68.0;136;8;2.0;1.0
17;53;67.0;78.0;122;1;9.0;11.0
16;59;68.0;78.0;143;5;10.0;10.0
9;52;68.0;84.0;107;18;16.0;16.0
12;54;68.0;77.0;123;10;7.0;9.0
7;52;69.0;83.0;102;0;15.0;14.0
3;52;69.0;84.0;113;13;13.0;15.0
11;70;70.0;73.0;157;9;3.0;3.0
2;55;70.89360009002253;86.89360009002253;129;0;15.0;16.0
15;71;71.0;92.0;160;0;22.0;21.0
14;71;71.0;99.0;168;9;27.0;28.0
5;71;72.0;88.0;166;22;17.0;16.0
18;71;72.0;74.0;163;16;4.0;2.0
10;71;72.0;76.0;167;15;6.0;4.0
13;70;73.0;76.0;159;5;3.0;3.0
11;59;73.0;88.0;145;0;14.0;15.0
18;65;74.0;79.0;152;29;2.0;5.0
19;64;74.0;76.0;150;15;1.0;2.0
10;70;76.0;77.0;156;24;2.0;1.0
19;70;76.0;77.0;158;24;1.0;1.0
13;64;76.0;82.0;148;12;6.0;6.0
0;71;76.0;77.0;172;27;3.0;1.0
1;77;77.0;92.0;177;3;16.0;15.0
10;77;77.0;103.0;178;29;27.0;26.0
19;71;77.0;78.0;164;24;1.0;1.0
12;71;77.0;82.0;162;19;4.0;5.0
0;71;77.0;78.0;161;29;4.0;1.0
16;71;78.0;81.0;169;24;3.0;3.0
19;61;78.0;84.0;147;26;4.0;6.0
17;71;78.0;89.0;171;6;10.0;11.0
0;66;78.0;84.0;153;17;5.0;6.0
18;71;79.0;83.0;170;16;4.0;4.0
16;80;81.0;86.0;182;17;4.0;5.0
4;72;82.0;94.0;173;16;11.0;12.0
12;78;82.0;87.0;180;17;5.0;5.0
13;78;82.0;86.0;181;25;3.0;4.0
8;80;82.0;92.0;183;1;9.0;10.0
18;83;83.0;84.0;186;29;2.0;1.0
7;83;83.0;94.0;187;3;11.0;11.0
18;84;84.0;106.0;189;26;17.0;22.0
9;82;84.0;86.0;184;1;3.0;2.0
19;84;84.0;86.0;188;26;4.0;2.0
3;82;84.0;85.0;185;11;1.0;1.0
