server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;2;2.0;31.0;0;7;28.0;29.0
1;2;2.0;13.0;2;27;11.0;11.0
2;2;2.0;6.0;1;9;5.0;4.0
3;2;2.0;6.0;3;0;4.0;4.0
4;3;3.0;10.0;6;7;5.0;7.0
5;3;3.0;6.0;5;3;4.0;3.0
7;3;3.0;15.0;4;9;12.0;12.0
8;4;4.0;12.0;11;17;10.0;8.0
9;4;4.0;10.0;7;0;6.0;6.0
10;4;4.0;5.0;8;2;1.0;1.0
16;4;4.0;22.0;9;28;15.0;18.0
12;4;4.0;27.0;10;6;25.0;23.0
13;5;5.0;23.0;13;24;18.0;18.0
14;5;5.0;29.0;12;23;23.0;24.0
10;6;6.0;9.0;18;3;3.0;3.0
5;6;6.0;18.0;17;6;12.0;12.0
2;6;6.0;11.0;14;8;5.0;5.0
3;6;6.0;20.0;15;29;14.0;14.0
18;6;6.466390216034256;38.466390216034256;16;9;28.0;32.0
10;7;9.0;23.0;19;18;14.0;14.0
9;7;10.0;23.0;20;15;11.0;13.0
4;10;10.0;19.0;22;11;3.0;9.0
15;10;10.056857419146336;37.05685741914634;21;2;24.0;27.000000000000004
2;11;11.0;18.0;29;24;9.0;7.0
8;11;12.0;39.0;24;21;27.0;27.0
11;11;12.594844046298839;15.594844046298839;28;29;3.0;3.0
1;13;13.0;26.0;31;27;11.0;13.0
7;15;15.0;43.0;34;5;28.0;28.0
17;11;15.325299927303941;17.32529992730394;30;23;2.0;2.0
11;11;15.594844046298839;21.59484404629884;27;10;4.0;6.0
17;11;17.32529992730394;22.32529992730394;25;20;6.0;5.0
5;18;18.0;29.0;38;17;11.0;11.0
2;11;18.0;28.0;26;24;9.0;10.0
4;13;19.0;23.0;32;26;2.0;4.0
6;18;19.122492658826218;25.122492658826218;35;19;3.0;6.0
3;20;20.0;28.0;39;2;9.0;8.0
11;18;21.59484404629884;40.59484404629884;36;26;20.0;19.0
19;15;21.80438533635339;46.80438533635339;33;20;25.0;25.0
16;18;22.0;49.0;37;20;28.0;27.0
6;26;26.0;38.0;40;27;11.0;12.0
17;26;26.0;45.0;41;7;19.0;19.0
10;26;26.0;50.0;42;14;24.0;24.0
13;29;29.0;37.0;43;20;8.0;8.0
9;31;31.0;34.0;45;17;2.0;3.0
4;31;31.0;52.0;44;8;21.0;21.0
