server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
3;1;1.0;19.0;0;18;19.0;18.0
4;1;1.0;12.0;1;29;10.0;11.0
5;1;1.0;12.0;2;28;12.0;11.0
6;4;4.0;13.0;3;20;8.0;9.0
11;4;4.0;5.0;4;28;1.0;1.0
1;8;8.0;10.0;5;14;2.0;2.0
12;8;8.0;20.0;6;28;11.0;12.0
14;8;8.0;33.0;8;0;24.0;25.0
16;8;8.0;24.0;7;25;17.0;16.0
0;9;9.0;10.0;9;14;3.0;1.0
17;9;9.0;15.0;10;13;8.0;6.0
18;11;11.0;31.0;18;1;23.0;20.0
19;11;11.0;27.0;14;27;14.0;16.0
0;11;11.0;25.0;13;12;15.0;14.0
11;11;11.0;12.0;17;29;1.0;1.0
11;11;12.0;22.0;12;21;9.0;10.0
4;11;12.0;21.0;11;15;7.0;9.0
5;11;12.0;34.0;20;22;22.0;22.0
2;11;12.021845957351653;31.02184595735165;15;1;18.0;19.0
10;11;12.880287299834508;21.880287299834507;19;1;8.0;8.999999999999998
6;13;13.0;20.0;21;21;10.0;7.0
15;15;15.0;18.0;23;11;4.0;3.0
17;15;15.0;21.0;24;24;3.0;6.0
15;18;18.0;19.0;29;20;1.0;1.0
15;17;19.0;27.0;26;26;8.0;8.0
3;18;19.0;28.0;27;2;9.0;9.0
8;18;19.013437344767787;27.013437344767787;28;7;7.0;8.0
1;15;19.36237212443573;24.36237212443573;25;16;6.0;5.0
12;20;20.0;46.0;31;17;28.0;26.0
6;20;20.0;30.0;32;19;11.0;10.0
17;20;21.0;34.0;30;11;14.0;13.0
10;22;22.0;47.0;34;27;25.0;25.0
11;22;22.0;38.0;33;7;17.0;16.0
13;23;23.0;26.0;36;14;1.0;3.0
7;23;23.0;38.0;35;28;16.0;15.0
4;23;23.0;46.0;37;14;22.0;23.0
9;26;26.0;37.0;38;10;9.0;11.0
13;28;28.0;30.0;39;14;1.0;2.0
1;28;28.0;29.0;41;3;3.0;1.0
8;28;28.0;41.0;40;25;12.0;13.0
1;29;29.0;36.0;44;17;4.0;7.0
15;29;29.0;31.0;47;14;3.0;2.0
