server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;1;1.0;18.0;0;20;16.0;17.0
1;1;1.0;6.0;2;20;5.0;5.0
2;1;1.0;7.0;1;26;6.0;6.0
3;3;3.0;15.0;7;4;10.0;12.0
4;3;3.0;19.0;5;18;16.0;16.0
6;3;3.0;16.0;3;26;13.0;13.0
8;3;3.0;26.0;4;26;25.0;23.0
10;3;3.0;11.0;6;26;8.0;8.0
12;4;4.0;14.0;9;26;11.0;10.0
13;4;4.0;12.0;14;13;7.0;8.0
16;4;4.0;15.0;12;26;14.0;11.0
17;4;4.0;5.0;8;6;2.0;1.0
19;4;4.0;7.0;13;19;4.0;3.0
15;4;4.0;5.0;10;9;3.0;1.0
17;6;6.0;12.0;15;15;10.0;6.0
15;6;6.0;19.0;16;7;13.0;13.0
11;8;8.0;27.0;17;5;20.0;19.0
19;8;8.0;26.0;19;21;19.0;18.0
1;8;8.0;13.0;18;3;4.0;5.0
2;8;8.0;25.0;20;14;16.0;17.0
10;11;11.0;18.0;23;8;7.0;7.0
17;12;12.0;29.0;24;29;17.0;17.0
13;11;12.0;20.0;22;22;7.0;8.0
14;10;12.729278954036616;35.729278954036616;21;17;24.0;23.0
1;16;16.0;33.0;27;17;16.0;17.0
12;16;16.0;41.0;25;3;24.0;25.0
16;16;16.0;18.0;26;20;2.0;2.0
5;18;18.0;27.0;28;17;12.0;9.0
3;18;18.0;43.0;29;1;25.0;25.0
18;20;20.0;48.0;30;14;29.0;28.0
6;21;21.0;29.0;32;9;11.0;8.0
16;21;21.0;35.0;33;17;9.0;14.0
15;21;21.0;28.0;31;6;7.0;7.0
10;21;21.0;29.0;34;5;10.0;8.0
7;22;22.0;26.0;35;12;3.0;4.0
9;22;22.0;39.0;36;18;17.0;17.0
4;24;24.0;44.0;37;10;20.0;20.0
13;25;25.0;35.0;38;19;15.0;10.0
7;28;28.0;48.0;40;18;20.0;20.0
5;28;28.0;30.0;41;21;4.0;2.0
0;28;28.0;38.0;39;26;11.0;10.0
11;29;29.0;40.0;43;12;10.0;11.0
6;29;29.0;36.0;42;22;6.0;7.0
5;30;30.0;43.0;44;4;14.0;13.0
15;30;30.0;37.0;45;9;3.0;7.0
19;30;30.0;40.0;46;15;10.0;10.0
8;31;31.0;51.0;47;4;20.0;20.0
10;32;32.0;59.0;52;19;27.0;27.0
17;32;32.0;49.0;48;29;17.0;17.0
1;32;33.0;37.0;49;7;7.0;4.0
13;35;35.0;36.0;54;24;1.0;1.0
16;35;35.0;36.0;55;20;2.0;1.0
14;32;35.729278954036616;39.729278954036616;51;25;3.0;4.0
13;33;36.0;39.0;53;15;8.0;3.0
16;32;36.0;50.0;50;7;13.0;14.0
0;38;38.0;44.0;58;11;5.0;6.0
6;38;38.0;44.0;56;4;4.0;6.0
15;38;38.0;52.0;57;8;13.0;14.0
1;38;38.0;63.0;59;13;27.0;25.0
13;39;39.0;51.0;62;23;13.0;12.0
14;39;39.729278954036616;41.729278954036616;63;19;1.0;2.0
11;39;40.0;61.0;60;5;20.0;21.0
19;39;40.0;58.0;61;21;19.0;18.0
12;39;41.0;43.0;64;5;2.0;2.0
14;42;42.0;52.0;66;2;9.0;10.0
5;42;43.0;45.0;65;21;4.0;2.0
3;42;43.0;44.0;68;8;1.0;1.0
12;42;43.0;54.0;69;20;12.0;11.0
0;42;44.0;70.0;67;21;25.0;26.0
2;45;45.0;51.0;74;18;4.0;6.0
5;45;45.0;59.0;71;4;14.0;14.0
6;45;45.0;51.0;75;15;4.0;6.0
4;45;45.0;50.0;70;26;4.0;5.0
3;45;45.0;65.0;72;20;19.0;20.0
9;45;45.787717727490104;72.7877177274901;73;14;28.0;27.0
7;46;48.0;65.0;78;3;19.0;17.0
18;46;48.0;55.0;79;21;6.0;7.0
17;46;49.0;71.0;77;7;21.0;22.0
4;50;50.0;57.0;81;5;6.0;7.0
16;46;50.0;69.0;76;26;14.0;19.0
2;49;51.0;57.0;80;26;6.0;6.0
14;52;52.0;67.0;84;21;14.0;15.0
6;52;52.0;56.0;85;18;5.0;4.0
13;52;52.0;59.0;83;8;6.0;7.0
15;54;54.0;80.0;88;24;26.0;26.0
8;54;54.0;61.0;90;25;6.0;7.0
12;54;54.0;57.0;89;7;5.0;3.0
18;54;55.0;68.0;86;11;11.0;13.0
6;56;56.0;84.0;93;28;27.0;28.0
2;57;57.0;72.0;99;28;15.0;15.0
4;56;57.0;61.0;94;20;5.0;4.0
12;57;57.0;58.0;107;14;2.0;1.0
19;57;58.0;61.0;105;19;4.0;3.0
12;56;58.0;64.0;92;2;2.0;6.0
5;56;59.0;63.0;97;16;4.0;4.0
13;58;59.0;60.0;108;18;3.0;1.0
10;56;59.0;61.0;95;4;1.0;2.0
13;56;60.0;67.0;91;29;6.0;7.0
8;56;61.0;68.0;98;14;8.0;7.0
11;56;61.0;81.0;96;17;21.0;20.0
10;57;61.0;68.0;102;26;8.0;7.0
19;57;61.0;89.0;101;29;27.0;28.0
4;54;61.0;63.0;87;0;2.0;2.0
5;63;63.0;79.0;116;5;15.0;16.0
4;62;63.0;72.0;114;15;10.0;9.0
1;58;63.0;71.0;109;23;9.0;8.0
12;60;64.0;66.0;110;16;2.0;2.0
7;65;65.0;84.0;119;22;19.0;19.0
3;64;65.0;69.0;118;8;1.0;4.0
12;62;66.0;67.0;115;2;2.0;1.0
14;60;67.0;79.0;111;29;11.0;12.0
13;63;67.0;74.0;117;6;8.0;7.0
12;65;67.0;81.0;121;11;11.0;14.0
18;68;68.0;71.0;122;1;3.0;3.0
10;62;68.0;78.0;113;9;10.0;10.0
16;60;69.0;77.0;112;23;11.0;8.0
9;74;74.0;99.0;126;23;24.0;25.0
2;74;74.0;78.0;124;16;6.0;4.0
18;74;74.0;76.0;125;23;2.0;2.0
0;74;74.0;96.0;128;17;18.0;22.0
3;74;74.0;88.0;127;5;13.0;14.0
4;74;74.0;78.0;123;1;4.0;4.0
18;77;77.0;78.0;130;23;2.0;1.0
17;77;77.0;93.0;129;29;17.0;16.0
1;77;77.0;86.0;131;26;8.0;9.0
2;79;79.0;86.0;132;10;10.0;7.0
18;79;79.0;101.0;136;24;24.0;22.0
5;79;79.0;95.0;134;5;15.0;16.0
13;79;79.0;84.0;137;15;8.0;5.0
14;79;79.0;89.0;135;10;8.0;10.0
4;79;79.0;88.0;133;13;9.0;9.0
15;80;80.0;92.0;143;27;14.0;12.0
16;80;80.0;85.0;140;18;5.0;5.0
10;80;80.0;82.0;141;18;1.0;2.0
11;80;81.0;86.0;138;8;4.0;5.0
10;80;82.0;87.0;142;26;8.0;5.0
7;84;84.0;103.0;148;3;19.0;19.0
13;83;84.0;106.0;144;0;23.0;22.0
6;84;84.0;87.0;147;4;4.0;3.0
16;83;85.0;97.0;145;25;12.0;12.0
2;80;86.0;103.0;139;9;18.0;17.0
1;86;86.0;94.0;149;7;7.0;8.0
11;84;86.0;111.0;146;22;25.0;25.0
6;87;87.0;90.0;152;3;1.0;3.0
10;87;87.0;112.0;153;28;22.0;25.0
3;87;88.0;112.0;151;12;24.0;24.0
4;91;91.0;100.0;154;24;6.0;9.0
14;92;92.0;97.0;155;7;4.0;5.0
6;92;92.0;119.0;164;8;29.0;27.0
19;92;92.0;106.0;159;26;14.0;14.0
15;92;92.0;95.0;161;29;3.0;3.0
17;93;93.0;99.0;166;13;6.0;6.0
1;92;94.0;95.0;157;2;2.0;1.0
5;95;95.0;110.0;170;7;14.0;15.0
1;95;95.0;99.0;169;20;5.0;4.0
15;93;95.0;104.0;165;10;7.0;9.0
0;96;96.0;114.0;173;25;17.0;18.0
14;92;97.0;98.0;163;19;1.0;1.0
16;95;97.0;104.0;172;18;5.0;7.0
14;92;98.0;101.0;158;25;3.0;3.0
17;99;99.0;121.0;181;10;21.0;22.0
1;99;99.0;100.0;174;29;2.0;1.0
4;92;100.0;104.0;162;1;4.0;4.0
1;99;100.0;105.0;178;2;2.0;5.0
12;99;100.3144369839212;103.3144369839212;180;5;2.0;3.0
18;101;101.0;126.0;183;2;25.0;25.0
14;95;101.0;110.0;171;10;8.0;9.0
