server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;4;4.0;21.0;0;6;16.0;17.0
2;5;5.0;6.0;1;4;1.0;1.0
3;5;5.0;10.0;2;26;6.0;5.0
5;5;5.0;10.0;4;18;2.0;5.0
6;5;5.0;10.0;3;14;6.0;5.0
9;5;5.0;27.0;5;25;21.0;22.0
10;7;7.0;34.0;6;3;27.0;27.0
12;7;7.0;29.0;7;24;23.0;22.0
13;8;8.0;31.0;9;12;21.0;23.0
16;8;8.0;38.0;10;15;24.0;30.0
18;8;8.0;23.0;8;22;15.0;15.0
17;9;9.0;18.0;11;15;8.0;9.0
19;10;10.0;18.0;13;28;7.0;8.0
2;10;10.0;24.0;12;18;13.0;14.0
3;10;10.0;33.0;14;18;22.0;23.0
8;12;12.0;35.0;15;5;24.0;23.0
1;14;14.0;26.0;16;7;12.0;12.0
4;14;14.0;39.0;17;15;26.0;25.0
15;17;17.0;22.0;19;16;7.0;5.0
5;17;17.0;30.0;18;13;14.0;13.0
7;19;19.0;45.0;21;9;27.0;26.0
6;19;19.0;41.0;20;21;23.0;22.0
19;21;21.0;28.0;23;16;6.0;7.0
17;21;21.0;45.0;22;5;23.0;24.0
14;24;24.0;40.0;24;18;15.0;16.0
15;24;24.0;40.0;25;27;15.0;16.0
2;24;24.0;33.0;26;19;9.0;9.0
1;26;26.0;30.0;28;29;3.0;4.0
18;26;26.0;33.0;27;3;8.0;7.0
0;26;26.0;32.0;29;10;8.0;6.0
11;28;28.0;29.0;30;25;1.0;1.0
11;31;31.0;55.0;31;24;26.0;24.0
19;32;32.0;41.0;32;6;10.0;9.0
1;35;35.0;42.0;33;5;8.0;7.0
5;36;36.0;37.0;34;12;1.0;1.0
9;36;36.0;45.0;36;12;9.0;9.0
12;36;36.0;64.0;35;26;27.0;28.0
5;37;37.0;56.0;37;10;19.0;19.0
18;38;38.0;58.0;38;14;18.0;20.0
14;41;41.0;46.0;45;15;6.0;5.0
15;41;41.0;42.0;39;3;2.0;1.0
0;41;41.0;47.0;42;17;5.0;6.0
8;41;41.0;46.0;44;2;6.0;5.0
13;41;41.0;42.0;40;9;3.0;1.0
2;41;41.0;60.0;41;5;16.0;19.0
19;41;41.0;65.0;43;8;24.0;24.0
15;42;42.0;44.0;46;3;2.0;2.0
1;42;42.0;72.0;47;28;28.0;30.0
13;44;44.0;55.0;48;19;10.0;11.0
15;45;45.0;72.0;50;1;29.0;27.0
4;45;45.0;47.0;49;27;2.0;2.0
7;45;45.0;58.0;51;2;13.0;13.0
6;45;45.0;62.0;52;13;18.0;17.0
14;47;47.0;78.0;53;22;28.0;31.0
4;47;47.0;48.0;54;10;1.0;1.0
10;47;47.0;57.0;55;6;9.0;10.0
3;48;48.0;73.0;56;7;25.0;25.0
4;48;48.0;59.0;59;8;11.0;11.0
8;48;48.0;54.0;57;26;5.0;6.0
0;48;48.0;57.0;58;29;10.0;9.0
16;50;50.0;55.0;61;28;3.0;5.0
9;50;50.0;51.0;62;2;2.0;1.0
17;50;50.0;56.0;60;9;8.0;6.0
9;51;51.0;65.0;63;26;14.0;14.0
8;52;54.0;59.0;66;2;6.0;5.0
11;52;55.0;60.0;67;28;7.0;5.0
16;54;55.0;56.0;70;8;4.0;1.0
13;55;55.0;68.0;71;22;13.0;13.0
16;52;56.0;70.0;69;10;13.0;14.0
5;51;56.0;70.0;64;13;14.0;14.0
17;52;56.0;64.0;65;15;8.0;8.0
10;58;58.0;66.0;72;19;9.0;8.0
11;61;61.0;76.0;74;29;13.0;15.0
0;61;61.0;78.0;75;5;15.0;17.0
8;61;61.0;74.0;76;9;14.0;13.0
4;62;62.0;88.0;78;15;26.0;26.0
7;62;62.0;79.0;77;25;18.0;17.0
2;63;63.0;68.0;79;14;5.0;5.0
6;63;63.0;67.0;80;24;3.0;4.0
17;63;64.0;70.0;81;24;7.0;6.0
12;64;64.0;70.0;83;2;4.0;6.0
9;64;65.0;68.0;82;20;3.0;3.0
19;65;65.0;72.0;84;0;6.0;7.0
10;65;66.0;67.0;86;15;1.0;1.0
10;67;67.0;86.0;91;29;20.0;19.0
6;67;67.0;77.0;88;1;8.0;10.0
2;67;68.0;70.0;90;28;1.0;2.0
13;65;68.0;78.0;87;6;9.0;10.0
9;65;68.0;77.0;85;10;10.0;9.0
2;69;70.0;71.0;92;21;1.0;1.0
16;69;70.0;85.0;93;6;15.0;15.0
5;69;70.0;86.0;94;27;15.0;16.0
17;69;70.0;85.0;96;7;15.0;15.0
12;69;70.0;81.0;95;27;12.0;11.0
2;71;71.0;72.0;97;0;4.0;1.0
15;75;75.0;77.0;98;13;2.0;2.0
2;75;75.0;83.0;99;9;7.0;8.0
11;76;76.0;85.0;100;13;9.0;9.0
8;77;77.0;78.0;103;3;2.0;1.0
1;77;77.0;83.0;104;21;8.0;6.0
3;77;77.0;83.0;101;26;6.0;6.0
15;77;77.0;86.0;102;16;7.0;9.0
19;77;77.0;88.0;105;1;8.0;11.0
14;79;79.0;108.0;106;13;29.0;29.0
8;84;84.0;85.0;107;19;3.0;1.0
0;84;84.0;88.0;108;25;4.0;4.0
8;85;85.0;109.0;109;14;22.0;24.0
11;85;85.0;103.0;110;10;17.0;18.0
6;88;88.0;106.0;111;13;18.0;18.0
9;88;88.0;94.0;112;8;6.0;6.0
7;91;91.0;113.0;113;28;21.0;22.0
13;91;91.0;101.0;115;8;11.0;10.0
0;91;91.0;96.0;114;11;5.0;5.0
