server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;1;1.0;19.0;0;21;19.0;18.0
3;3;3.0;13.0;2;12;12.0;10.0
4;3;3.0;20.0;1;4;13.0;17.0
5;4;4.0;16.0;3;2;13.0;12.0
8;4;4.0;32.0;4;4;28.0;28.0
9;5;5.0;12.0;9;22;7.0;7.0
10;5;5.0;12.0;6;17;9.0;7.0
13;5;5.0;13.0;11;11;7.0;8.0
14;5;5.0;10.0;8;6;5.0;5.0
16;5;5.0;16.0;5;14;13.0;11.0
18;5;5.0;13.0;12;17;10.0;8.0
19;5;5.0;27.0;7;23;22.0;22.0
15;5;5.0;30.0;10;23;26.0;25.0
1;8;9.668243167643464;26.668243167643464;15;1;17.0;17.0
14;6;10.0;20.0;14;9;11.0;10.0
2;8;10.542764617635225;30.542764617635225;16;20;20.0;20.0
9;11;12.0;20.0;19;19;7.0;8.0
10;11;12.0;16.0;20;19;5.0;4.0
7;6;12.427753216588778;24.427753216588776;13;26;12.0;11.999999999999998
18;11;13.0;14.0;17;11;1.0;1.0
3;13;13.0;14.0;25;18;1.0;1.0
11;12;13.759857026240319;15.759857026240319;22;11;3.0;2.0
18;14;14.0;17.0;26;11;1.0;3.0
3;14;14.0;39.0;28;7;25.0;25.0
11;14;15.759857026240319;19.75985702624032;27;24;3.0;4.0
16;16;16.0;31.0;34;13;15.0;15.0
10;16;16.0;43.0;33;20;27.0;27.0
5;13;16.0;22.0;24;0;8.0;6.0
18;14;17.0;18.0;29;11;1.0;1.0
18;13;18.0;28.0;23;22;9.0;10.0
17;14;18.480844026378342;21.480844026378342;31;13;1.0;3.0
0;14;19.0;25.0;32;4;5.0;6.0
11;12;19.75985702624032;29.75985702624032;21;2;12.0;10.0
9;14;20.0;32.0;30;28;13.0;12.0
14;17;20.0;31.0;39;22;11.0;11.0
4;16;20.0;27.0;35;1;3.0;7.0
17;16;21.480844026378342;22.480844026378342;36;13;1.0;1.0
5;21;22.0;29.0;42;29;5.0;7.0
17;16;22.480844026378342;34.48084402637834;38;4;12.0;12.0
6;18;22.65159713163976;28.65159713163976;41;23;7.0;6.0
13;17;23.799551376643915;34.79955137664392;40;14;11.0;11.000000000000004
7;23;24.427753216588776;27.427753216588776;46;6;3.0;3.0
0;25;25.0;42.0;48;3;15.0;17.0
12;23;25.165920969386264;44.16592096938626;43;10;19.0;19.0
1;23;26.668243167643464;39.66824316764347;47;19;14.0;13.000000000000004
19;27;27.0;39.0;51;16;10.0;12.0
4;27;27.0;37.0;52;13;9.0;10.0
7;25;27.427753216588776;41.427753216588776;49;21;13.0;14.0
18;28;28.0;29.0;53;11;1.0;1.0
18;29;29.0;40.0;54;14;11.0;11.0
5;29;29.0;35.0;56;3;7.0;6.0
11;29;29.75985702624032;30.75985702624032;55;23;2.0;1.0
15;23;30.0;46.0;44;2;16.0;16.0
2;29;30.542764617635225;54.54276461763523;57;2;25.0;24.000000000000004
11;23;30.75985702624032;47.75985702624032;45;9;17.0;17.0
16;27;31.0;57.0;50;9;25.0;26.0
14;32;32.0;58.0;58;14;28.0;26.0
9;34;34.0;53.0;73;16;15.0;19.0
8;34;34.0;40.0;72;23;3.0;6.0
17;34;34.48084402637834;46.48084402637834;75;4;12.0;12.0
13;34;34.79955137664392;54.79955137664392;60;10;16.0;20.0
4;34;37.0;42.0;69;25;6.0;5.0
19;39;39.0;41.0;84;1;3.0;2.0
3;37;39.0;42.0;79;19;5.0;3.0
1;34;39.66824316764347;63.66824316764347;76;9;23.0;24.0
8;37;40.0;54.0;80;26;14.0;14.0
18;34;40.0;42.0;63;18;1.0;2.0
19;34;41.0;44.0;74;20;3.0;3.0
7;34;41.427753216588776;43.427753216588776;71;6;3.0;2.0
18;42;42.0;51.0;87;22;9.0;9.0
3;42;42.0;49.0;92;14;6.0;7.0
4;34;42.0;47.0;70;0;4.0;5.0
0;34;42.0;48.0;67;4;5.0;6.0
5;34;42.08237254513007;48.08237254513007;77;3;7.0;6.0
10;37;43.0;47.0;82;16;4.0;4.0
7;42;43.427753216588776;50.427753216588776;90;23;7.0;7.0
19;36;44.0;46.0;78;11;3.0;2.0
12;34;44.16592096938626;53.16592096938626;62;25;8.0;9.0
15;42;46.0;48.0;88;21;2.0;2.0
17;34;46.48084402637834;49.48084402637834;64;13;1.0;3.0
6;40;46.531548360821354;48.531548360821354;85;2;5.0;2.0
10;40;47.0;61.0;86;25;10.0;14.0
4;42;47.0;49.0;89;0;4.0;2.0
11;34;47.75985702624032;53.75985702624032;68;4;4.0;6.0
15;42;48.0;65.0;93;2;16.0;17.0
5;42;48.08237254513007;71.08237254513007;91;13;24.0;23.0
6;47;48.531548360821354;55.531548360821354;97;3;6.0;7.0
3;49;49.0;78.0;106;9;29.0;29.0
4;49;49.0;55.0;100;17;5.0;6.0
17;49;49.48084402637834;50.48084402637834;102;24;3.0;1.0
17;50;50.48084402637834;68.48084402637835;112;27;17.0;18.000000000000007
18;50;51.0;65.0;111;16;14.0;14.0
9;49;53.0;66.0;108;11;12.0;13.0
12;51;53.16592096938626;62.16592096938626;114;13;9.0;9.0
11;49;53.75985702624032;55.75985702624032;107;15;2.0;2.0
8;50;54.0;60.0;110;23;3.0;6.0
2;49;54.54276461763523;58.54276461763523;99;24;3.0;4.0
13;49;54.79955137664392;58.79955137664392;98;3;3.0;4.0
4;47;55.0;58.0;96;18;3.0;3.0
6;51;55.531548360821354;60.531548360821354;113;2;5.0;5.0
11;54;55.75985702624032;57.75985702624032;118;23;2.0;2.0
16;52;57.0;58.0;116;8;1.0;1.0
11;49;57.75985702624032;59.75985702624032;103;7;3.0;2.0
14;54;58.0;60.0;120;25;1.0;2.0
16;45;58.0;68.0;94;16;10.0;10.0
4;52;58.0;63.0;115;1;3.0;5.0
2;58;58.54276461763523;59.54276461763523;124;5;1.0;1.0
13;56;58.79955137664392;68.79955137664392;121;14;11.0;10.0
2;56;59.54276461763523;63.54276461763523;122;29;5.0;4.0
11;54;59.75985702624032;68.75985702624033;117;20;9.0;9.000000000000007
8;54;60.0;66.0;119;18;7.0;6.0
14;59;60.0;69.0;125;8;7.0;9.0
6;49;60.531548360821354;75.53154836082135;105;10;15.0;14.999999999999993
