server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;1;1.0;22.0;1;14;21.0;21.0
2;1;1.0;7.0;0;10;4.0;6.0
5;4;4.0;17.0;2;1;13.0;13.0
6;4;4.0;6.0;3;12;2.0;2.0
7;4;4.0;5.0;4;28;2.0;1.0
10;5;5.0;21.0;5;2;14.0;16.0
12;7;7.0;8.0;9;3;2.0;1.0
13;7;7.0;15.0;6;23;8.0;8.0
15;7;7.0;22.0;8;10;11.0;15.0
16;7;7.0;25.0;7;19;20.0;18.0
14;12;12.0;20.0;11;4;9.0;8.0
19;12;12.0;26.0;13;15;10.0;14.0
12;12;12.0;37.0;12;26;28.0;25.0
7;13;13.0;23.0;14;23;11.0;10.0
6;13;13.0;27.0;16;21;13.0;14.0
2;13;13.0;33.0;15;11;19.0;20.0
1;17;17.0;34.0;17;22;19.0;17.0
3;18;18.0;23.0;21;2;7.0;5.0
9;18;18.0;27.0;20;11;9.0;9.0
4;18;18.0;20.0;18;18;1.0;2.0
13;18;18.0;23.0;19;23;8.0;5.0
5;19;19.0;35.0;23;23;16.0;16.0
8;19;19.184290053069795;48.184290053069795;22;29;29.0;29.0
4;22;22.0;42.0;24;6;21.0;20.0
14;22;22.0;37.0;25;23;16.0;15.0
11;23;23.0;34.0;26;2;11.0;11.0
3;23;23.0;30.0;27;16;6.0;7.0
7;23;23.0;32.0;28;21;8.0;9.0
17;25;25.0;27.0;29;26;2.0;2.0
13;25;25.0;32.0;30;5;8.0;7.0
17;27;27.0;31.0;32;22;7.0;4.0
9;27;27.0;36.0;33;2;9.0;9.0
19;27;27.0;28.0;34;3;2.0;1.0
15;27;27.0;42.0;31;6;15.0;15.0
19;29;29.0;32.0;36;11;2.0;3.0
10;29;29.0;45.0;37;4;15.0;16.0
6;29;29.0;46.0;38;19;19.0;17.0
0;29;29.0;37.0;35;17;10.0;8.0
3;30;30.0;54.0;40;5;26.0;24.0
18;30;30.542408903711227;45.54240890371123;39;28;17.0;15.0
17;31;31.0;37.0;41;29;4.0;6.0
19;32;32.0;58.0;44;9;27.0;26.0
13;32;32.0;50.0;46;28;15.0;18.0
7;32;32.0;41.0;47;21;8.0;9.0
2;32;33.0;35.0;43;15;2.0;2.0
