server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
1;0;0.0;27.0;0;9;28.0;27.0
2;1;1.0;29.0;4;23;27.0;28.0
4;1;1.0;14.0;6;9;14.0;13.0
5;1;1.0;23.0;3;21;22.0;22.0
6;1;1.0;9.0;5;9;8.0;8.0
7;1;1.0;2.0;2;10;2.0;1.0
8;1;1.0;22.0;1;21;20.0;21.0
10;3;3.0;16.0;13;10;13.0;13.0
11;3;3.0;7.0;12;3;4.0;4.0
12;3;3.0;4.0;10;19;1.0;1.0
13;3;3.0;7.0;9;17;8.0;4.0
14;3;3.0;11.0;11;17;8.0;8.0
15;3;3.0;11.0;8;16;7.0;8.0
16;3;3.0;7.0;7;27;8.0;4.0
17;5;5.0;17.0;14;28;12.0;12.0
19;5;5.0;30.0;15;27;25.0;25.0
12;6;6.0;15.0;19;5;8.0;9.0
7;6;6.0;16.0;20;3;10.0;10.0
16;6;7.0;19.0;18;14;8.0;12.0
11;6;7.0;16.0;17;27;14.0;9.0
13;8;8.0;12.0;22;24;5.0;4.0
6;8;9.0;17.0;23;9;8.0;8.0
14;10;11.0;17.0;26;23;8.0;6.0
15;10;11.0;41.0;25;2;28.0;30.0
13;12;12.0;21.0;32;17;8.0;9.0
4;14;14.0;17.0;33;26;2.0;3.0
12;12;15.0;16.0;29;19;1.0;1.0
3;10;15.729029572972241;21.72902957297224;27;22;6.0;6.0
18;10;15.839752164876868;17.83975216487687;24;0;1.0;2.0000000000000018
12;12;16.0;25.0;30;23;7.0;9.0
10;12;16.0;20.0;31;3;4.0;4.0
11;14;16.0;30.0;34;0;12.0;14.0
9;10;16.374055149241556;20.374055149241556;28;13;4.0;4.0
18;18;18.0;19.0;36;5;2.0;1.0
17;18;18.0;42.0;35;9;25.0;24.0
18;20;20.0;35.0;37;26;15.0;15.0
9;23;23.0;33.0;47;9;9.0;10.0
3;23;23.0;41.0;44;23;18.0;18.0
14;23;23.0;50.0;38;14;27.0;27.0
4;23;23.0;26.0;45;14;2.0;3.0
6;23;23.0;24.0;40;24;3.0;1.0
16;23;23.0;28.0;42;7;5.0;5.0
10;23;23.0;41.0;46;16;16.0;18.0
13;23;23.0;39.0;41;8;16.0;16.0
5;23;23.0;27.0;39;25;2.0;4.0
0;23;23.50243996211566;49.50243996211566;48;16;26.0;26.0
6;23;24.0;41.0;43;8;18.0;17.0
12;25;25.0;32.0;49;23;7.0;7.0
4;26;26.0;42.0;50;9;14.0;16.0
16;28;28.0;55.0;52;24;24.0;27.0
5;28;28.0;46.0;51;8;20.0;18.0
19;30;30.0;39.0;57;9;10.0;9.0
1;30;30.0;33.0;53;13;6.0;3.0
11;30;30.0;34.0;56;15;6.0;4.0
2;30;30.0;41.0;54;9;13.0;11.0
12;31;32.0;61.0;58;4;27.0;29.0
9;33;33.0;39.0;60;9;9.0;6.0
1;30;33.0;40.0;55;14;6.0;7.0
11;31;34.0;45.0;59;19;11.0;11.0
18;35;35.0;64.0;62;18;27.0;29.0
7;35;35.02120745709202;52.02120745709202;61;21;15.0;17.0
9;36;39.0;67.0;68;1;28.0;28.0
13;36;39.0;44.0;69;24;5.0;5.0
19;38;39.0;66.0;75;17;26.0;27.0
1;38;40.0;42.0;73;17;1.0;2.0
3;41;41.0;46.0;79;16;6.0;5.0
6;36;41.0;44.0;66;11;2.0;3.0
10;38;41.0;42.0;74;17;1.0;1.0
15;36;41.0;46.0;70;21;5.0;5.0
2;38;41.0;43.0;76;13;2.0;2.0
4;42;42.0;45.0;84;14;2.0;3.0
10;41;42.0;43.0;80;17;1.0;1.0
17;42;42.0;46.0;85;17;3.0;4.0
1;35;42.0;48.0;63;28;8.0;6.0
10;36;43.0;50.0;64;9;6.0;7.0
2;38;43.0;57.0;71;10;13.0;14.0
6;44;44.0;45.0;90;24;3.0;1.0
13;44;44.0;46.0;88;21;2.0;2.0
4;42;45.0;50.0;83;4;7.0;5.0
6;38;45.0;46.0;72;11;2.0;1.0
11;44;45.0;47.0;87;18;3.0;2.0
3;46;46.0;64.0;95;4;16.0;18.0
6;46;46.0;48.0;97;15;3.0;2.0
17;46;46.0;52.0;94;19;8.0;6.0
13;36;46.0;62.0;67;8;16.0;16.0
15;41;46.0;59.0;77;9;13.0;13.0
5;41;46.0;47.0;81;9;1.0;1.0
8;44;46.09070926232407;49.09070926232407;86;8;3.0;3.0
11;47;47.0;50.0;99;3;4.0;3.0
5;42;47.0;48.0;82;25;2.0;1.0
6;48;48.0;61.0;101;2;14.0;13.0
1;44;48.0;71.0;89;10;24.0;23.0
5;45;48.0;53.0;92;23;3.0;5.0
8;48;49.09070926232407;54.09070926232407;100;17;5.0;5.0
0;45;49.50243996211566;71.50243996211566;91;24;21.0;22.0
14;50;50.0;52.0;102;0;3.0;2.0
4;50;50.0;51.0;103;14;2.0;1.0
10;46;50.0;51.0;96;7;1.0;1.0
11;46;50.0;60.0;98;27;14.0;10.0
4;51;51.0;62.0;105;3;12.0;11.0
10;51;51.0;75.0;104;18;22.0;24.0
14;52;52.0;59.0;107;18;7.0;7.0
