server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;2;2.0;25.0;0;1;22.0;23.0
1;3;3.0;19.0;1;24;12.0;16.0
2;5;5.0;15.0;4;17;8.0;10.0
3;5;5.0;27.0;3;2;22.0;22.0
4;5;5.0;14.0;2;2;8.0;9.0
6;5;5.0;18.0;5;28;16.0;13.0
8;6;6.0;15.0;7;12;8.0;9.0
9;6;6.0;28.0;8;13;24.0;22.0
10;8;8.0;13.0;11;2;4.0;5.0
12;8;8.0;19.0;12;12;13.0;11.0
13;8;8.0;29.0;10;24;20.0;21.0
16;8;8.0;29.0;9;19;19.0;21.0
18;9;9.0;24.0;13;12;15.0;15.0
17;11;11.0;28.0;14;29;17.0;17.0
7;15;15.0;19.0;16;2;4.0;4.0
14;15;15.0;18.0;17;5;4.0;3.0
15;15;15.0;17.0;20;29;4.0;2.0
19;15;15.0;19.0;18;27;4.0;4.0
10;15;15.0;18.0;19;20;4.0;3.0
8;16;16.0;24.0;24;28;6.0;8.0
4;16;16.0;23.0;23;1;6.0;7.0
2;16;16.0;42.0;21;24;26.0;26.0
15;17;17.0;42.0;25;6;27.0;25.0
14;16;18.0;29.0;22;12;13.0;11.0
7;19;19.0;22.0;31;19;5.0;3.0
19;19;19.0;32.0;29;18;13.0;13.0
10;19;19.0;39.0;32;4;25.0;20.0
12;19;19.0;25.0;37;23;6.0;6.0
6;19;19.0;32.0;36;10;14.0;13.0
1;19;19.0;42.0;34;4;22.0;23.0
11;19;19.05026649249681;25.05026649249681;33;0;6.0;6.0
5;19;19.46237323431685;25.46237323431685;30;22;7.0;6.0
7;22;22.0;25.0;41;2;4.0;3.0
4;21;23.0;24.0;39;19;1.0;1.0
18;19;24.0;34.0;27;5;10.0;10.0
8;22;24.0;33.0;42;17;9.0;9.0
4;19;24.0;39.0;28;7;13.0;15.0
7;25;25.0;30.0;43;19;5.0;5.0
12;25;25.0;41.0;47;15;17.0;16.0
0;25;25.0;26.0;44;21;2.0;1.0
11;19;25.05026649249681;36.05026649249681;26;20;10.0;11.0
5;19;25.46237323431685;34.46237323431685;35;20;9.0;9.0
0;26;26.0;34.0;49;11;7.0;8.0
3;26;27.0;53.0;52;27;26.0;26.0
17;26;28.0;47.0;50;18;21.0;19.0
9;26;28.0;29.0;53;16;3.0;1.0
14;25;29.0;33.0;45;9;4.0;4.0
16;26;29.0;33.0;48;14;3.0;4.0
13;25;29.0;38.0;46;29;9.0;9.0
9;28;29.0;33.0;54;23;6.0;4.0
7;21;30.0;39.0;38;7;10.0;9.0
19;32;32.0;33.0;60;3;1.0;1.0
6;32;32.0;35.0;57;20;4.0;3.0
14;26;33.0;37.0;51;5;4.0;4.0
19;32;33.0;37.0;55;13;4.0;4.0
16;32;33.0;39.0;58;13;6.0;6.0
8;32;33.0;43.0;59;22;10.0;10.0
9;34;34.0;61.0;63;4;25.0;27.0
0;34;34.0;38.0;62;24;6.0;4.0
5;34;34.46237323431685;54.46237323431685;61;29;18.0;20.0
6;36;36.0;37.0;67;15;2.0;1.0
11;36;36.05026649249681;53.05026649249681;65;8;18.0;17.0
19;36;37.0;38.0;64;24;2.0;1.0
14;36;37.0;57.0;69;17;20.0;20.0
6;36;37.0;48.0;68;18;11.0;11.0
19;37;38.0;58.0;70;22;19.0;20.0
7;40;40.0;68.0;72;15;28.0;28.0
10;40;40.0;42.0;71;3;1.0;2.0
13;40;40.0;51.0;73;3;10.0;11.0
16;40;40.0;54.0;74;0;15.0;14.0
4;41;41.0;43.0;75;11;3.0;2.0
0;41;41.0;63.0;76;8;22.0;22.0
15;42;42.0;46.0;79;11;5.0;4.0
10;42;42.0;52.0;77;17;10.0;10.0
2;42;42.0;46.0;78;21;7.0;4.0
4;43;43.0;44.0;80;25;3.0;1.0
4;45;45.0;46.0;81;19;1.0;1.0
8;45;45.0;56.0;82;25;12.0;11.0
15;47;47.0;73.0;85;13;27.0;26.0
17;47;47.0;54.0;83;5;6.0;7.0
4;47;47.0;63.0;84;17;14.0;16.0
2;47;47.0;70.0;86;15;27.0;23.0
18;49;49.0;60.0;89;18;10.0;11.0
6;49;49.0;52.0;87;17;5.0;3.0
13;51;51.0;76.0;91;19;25.0;25.0
10;51;52.0;60.0;90;19;8.0;8.0
6;51;52.0;54.0;92;15;2.0;2.0
11;53;53.05026649249681;57.05026649249681;94;0;6.0;4.0
12;53;53.237620950712426;80.23762095071243;95;18;26.0;27.0
17;49;54.0;60.0;88;26;3.0;6.0
16;53;54.0;65.0;93;2;12.0;11.0
5;55;55.0;68.0;99;1;12.0;13.0
6;55;55.0;57.0;97;25;3.0;2.0
1;55;55.379317793872275;76.37931779387227;96;13;20.0;21.0
8;56;56.0;70.0;100;0;16.0;14.0
14;57;57.0;63.0;102;2;6.0;6.0
6;55;57.0;67.0;98;18;11.0;10.0
11;56;57.05026649249681;68.0502664924968;101;28;12.0;10.999999999999993
19;59;59.0;67.0;106;1;6.0;8.0
10;59;60.0;67.0;105;19;8.0;7.0
17;59;60.0;65.0;103;10;5.0;5.0
9;61;61.0;73.0;110;15;11.0;12.0
14;62;63.0;87.0;111;17;20.0;24.0
4;61;63.0;80.0;109;18;19.0;17.0
0;59;63.0;70.0;104;11;7.0;7.0
17;63;65.0;70.0;113;3;7.0;5.0
16;61;65.0;78.0;107;0;15.0;13.0
18;66;66.21826632755813;70.21826632755813;127;13;4.0;4.0
19;67;67.0;68.0;129;6;2.0;1.0
10;66;67.0;70.0;117;3;1.0;3.0
6;66;67.0;81.0;124;10;14.0;14.0
5;68;68.0;78.0;131;23;10.0;10.0
