server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;1;1.0;4.0;3;8;7.0;3.0
2;1;1.0;8.0;4;11;10.0;7.0
3;1;1.0;8.0;6;29;9.0;7.0
5;1;1.0;24.0;1;15;24.0;23.0
6;1;1.0;22.0;2;13;21.0;21.0
8;1;1.0;11.0;0;1;12.0;10.0
9;1;1.0;23.0;5;26;20.0;22.0
14;3;3.0;24.0;7;13;20.0;21.0
15;5;5.0;14.0;8;4;11.0;9.0
17;5;5.0;10.0;9;13;4.0;5.0
18;5;5.0;14.0;10;13;13.0;9.0
19;7;7.0;8.0;11;19;1.0;1.0
12;7;7.0;23.0;12;9;18.0;16.0
7;7;7.0;29.0;14;15;17.0;22.0
0;7;7.0;21.0;13;21;12.0;14.0
11;9;9.0;21.0;15;18;8.0;12.0
19;9;9.0;18.0;16;3;8.0;9.0
2;9;9.0;16.0;17;5;6.0;7.0
17;11;11.0;15.0;18;16;2.0;4.0
1;14;14.0;31.0;19;0;18.0;17.0
4;16;16.0;19.0;21;0;4.0;3.0
16;16;16.0;40.0;24;8;23.0;24.0
3;16;16.0;42.0;23;28;25.0;26.0
15;16;16.0;17.0;20;0;1.0;1.0
17;16;16.0;17.0;22;12;1.0;1.0
18;17;17.0;20.0;25;19;3.0;3.0
8;17;17.0;32.0;28;23;14.0;15.0
17;17;17.0;40.0;27;25;20.0;23.0
15;17;17.0;18.0;26;24;3.0;1.0
13;19;19.0;33.0;32;2;11.0;14.0
4;19;19.0;24.0;29;1;4.0;5.0
19;19;19.0;36.0;31;9;17.0;17.0
15;19;19.0;47.0;33;20;28.0;28.0
10;21;21.0;33.0;34;17;12.0;12.0
11;22;22.0;37.0;35;4;16.0;15.0
18;23;23.0;41.0;38;26;17.0;18.0
2;23;23.0;35.0;36;2;10.0;12.0
12;23;23.0;39.0;39;7;15.0;16.0
0;23;23.0;32.0;37;14;10.0;9.0
4;24;24.0;25.0;40;9;1.0;1.0
14;24;24.0;31.0;41;5;9.0;7.0
9;27;27.0;55.0;42;23;25.0;28.0
7;29;29.0;43.0;46;15;17.0;14.0
5;29;29.0;34.0;45;18;5.0;5.0
1;30;31.0;46.0;47;7;14.0;15.0
14;30;31.0;46.0;48;1;15.0;15.0
8;29;32.0;61.0;44;24;28.0;29.0
0;30;32.0;53.0;49;4;21.0;21.0
10;36;36.0;39.0;50;9;2.0;3.0
13;36;36.0;45.0;52;3;8.0;9.0
6;36;36.0;42.0;53;5;7.0;6.0
2;38;38.0;56.0;62;19;17.0;18.0
11;38;38.0;55.0;58;9;19.0;17.0
19;38;38.0;45.0;57;1;9.0;7.0
5;38;38.0;56.0;55;7;15.0;18.0
4;38;38.83362257785128;40.83362257785128;59;12;1.0;2.0
10;38;39.0;49.0;64;27;10.0;10.0
12;38;39.0;44.0;54;25;4.0;5.0
16;40;40.0;41.0;71;0;1.0;1.0
17;40;40.0;41.0;73;12;1.0;1.0
4;38;40.83362257785128;42.83362257785128;56;29;3.0;2.0
16;41;41.0;42.0;74;26;3.0;1.0
18;39;41.0;42.0;69;3;2.0;1.0
17;39;41.0;58.0;67;21;19.0;17.0
16;42;42.0;54.0;75;21;10.0;12.0
6;38;42.0;47.0;60;21;5.0;5.0
18;38;42.0;58.0;63;16;16.0;16.0
3;38;42.0;44.0;65;11;1.0;2.0
4;39;42.83362257785128;45.83362257785128;70;8;5.0;3.0
7;39;43.0;55.0;66;13;13.0;12.0
3;39;44.0;65.0;68;2;21.0;21.0
12;40;44.0;55.0;72;23;15.0;11.0
13;45;45.0;61.0;76;7;15.0;16.0
19;45;45.0;72.0;79;13;26.0;27.0
4;45;45.83362257785128;64.83362257785129;86;25;18.0;19.000000000000007
1;45;46.0;49.0;85;10;1.0;3.0
14;45;46.0;49.0;78;11;1.0;3.0
6;45;47.0;53.0;80;21;5.0;6.0
15;45;47.0;61.0;83;11;14.0;14.0
10;48;49.0;75.0;90;7;26.0;26.0
1;48;49.0;50.0;88;10;1.0;1.0
14;48;49.0;50.0;89;17;1.0;1.0
1;45;50.0;77.0;81;13;23.0;27.0
14;50;50.0;61.0;92;16;8.0;11.0
6;50;53.0;55.0;91;21;5.0;2.0
0;50;53.0;57.0;93;27;4.0;4.0
16;48;54.0;56.0;87;20;2.0;2.0
6;54;55.0;56.0;96;10;1.0;1.0
11;45;55.0;62.0;84;24;7.0;7.0
12;54;55.0;62.0;97;4;6.0;7.0
7;45;55.0;61.0;77;3;3.0;6.0
9;45;55.0;57.0;82;15;3.0;2.0
16;52;56.0;76.0;95;16;19.0;20.0
6;57;57.0;67.0;98;3;10.0;10.0
2;57;57.0;65.0;99;16;11.0;8.0
5;57;57.0;80.0;100;15;24.0;23.0
13;62;62.0;72.0;102;2;11.0;10.0
18;62;62.0;78.0;103;21;16.0;16.0
0;62;62.0;70.0;105;8;7.0;8.0
11;62;62.0;67.0;101;10;5.0;5.0
17;62;62.0;85.0;104;21;19.0;23.0
9;63;63.0;76.0;109;1;13.0;13.0
15;63;63.0;72.0;108;26;8.0;9.0
8;63;63.0;85.0;107;16;22.0;22.0
7;63;63.0;64.0;106;22;1.0;1.0
4;65;65.0;68.0;114;21;4.0;3.0
2;65;65.0;70.0;110;5;6.0;5.0
12;65;65.0;69.0;113;18;5.0;4.0
7;65;65.0;66.0;116;14;2.0;1.0
3;65;65.0;75.0;111;8;9.0;10.0
14;65;65.0;67.0;117;14;2.0;2.0
6;67;67.0;89.0;118;26;24.0;22.0
11;67;67.0;71.0;120;20;6.0;4.0
7;67;67.0;89.0;119;12;22.0;22.0
4;70;70.0;93.0;122;6;23.0;23.0
2;71;71.0;76.0;127;28;8.0;5.0
0;71;71.0;83.0;123;17;12.0;12.0
12;71;71.0;82.0;126;12;8.0;11.0
11;71;71.0;80.0;124;15;9.0;9.0
14;71;71.0;74.0;128;17;1.0;3.0
13;71;72.0;85.0;125;25;13.0;13.0
19;72;72.0;86.0;129;24;14.0;14.0
15;73;73.0;82.0;133;16;10.0;9.0
14;73;74.0;100.0;135;19;27.0;26.0
16;73;76.0;98.0;134;27;21.0;22.0
2;73;76.0;103.0;130;6;27.0;27.0
9;76;76.0;78.0;144;15;3.0;2.0
1;75;77.0;80.0;140;11;4.0;3.0
18;73;78.0;100.0;136;2;25.0;22.0
9;75;78.0;89.0;141;17;10.0;11.0
1;74;80.0;85.0;139;1;6.0;5.0
11;74;80.0;106.0;138;16;28.0;26.0
12;79;82.0;94.0;153;24;11.0;12.0
15;73;82.0;109.0;132;21;28.0;27.0
0;79;83.0;96.0;150;17;12.0;13.0
13;85;85.0;103.0;160;9;19.0;18.0
1;85;85.0;102.0;159;26;16.0;17.0
17;75;85.0;114.0;142;9;27.0;29.0
8;85;85.0;91.0;162;10;6.0;6.0
19;84;86.0;99.0;158;17;10.0;13.0
3;85;86.54486997709103;95.54486997709103;161;8;9.0;9.0
10;76;88.8566275930909;91.8566275930909;145;22;4.0;3.0
6;83;89.0;91.0;156;18;2.0;2.0
7;83;89.0;92.0;155;20;2.0;3.0
6;78;91.0;98.0;146;9;9.0;7.0
8;76;91.0;112.0;143;26;21.0;21.0
10;86;91.8566275930909;120.8566275930909;164;20;29.0;29.0
7;86;92.0;95.0;163;20;2.0;3.0
4;93;93.0;98.0;172;21;4.0;5.0
12;93;94.0;101.0;171;11;7.0;7.0
7;95;95.0;110.0;174;26;15.0;15.0
3;93;95.54486997709103;96.54486997709103;173;11;1.0;1.0
0;93;96.0;113.0;170;24;17.0;17.0
3;90;96.54486997709103;106.54486997709103;166;12;11.0;10.0
4;93;98.0;102.0;169;0;4.0;4.0
16;95;98.0;99.0;175;26;3.0;1.0
6;98;98.0;106.0;176;11;6.0;8.0
16;99;99.0;113.0;183;21;10.0;14.0
19;78;99.0;120.0;149;10;19.0;21.0
18;99;100.0;120.0;182;27;20.0;20.0
14;99;100.0;113.0;179;24;12.0;13.0
12;101;101.0;110.0;185;12;8.0;9.0
9;98;101.69784886989586;112.69784886989586;177;17;10.0;11.0
4;101;102.0;126.0;186;11;22.0;24.0
1;90;102.0;104.0;165;24;3.0;2.0
13;103;103.0;114.0;191;5;11.0;11.0
2;101;103.0;113.0;187;2;10.0;10.0
1;99;104.0;108.0;184;9;5.0;4.0
6;99;106.0;113.0;181;14;7.0;7.0
11;98;106.0;122.0;178;26;15.0;16.0
3;103;106.54486997709103;132.54486997709103;190;26;26.0;26.0
1;107;108.0;130.0;196;19;20.0;22.0
15;109;109.0;110.0;201;17;1.0;1.0
12;105;110.0;116.0;192;4;6.0;6.0
7;105;110.0;112.0;195;14;2.0;2.0
15;107;110.0;112.0;197;8;4.0;2.0
7;112;112.0;113.0;202;20;2.0;1.0
15;101;112.0;134.0;189;27;23.0;22.0
8;109;112.0;122.0;200;28;11.0;10.0
9;105;112.69784886989586;114.69784886989586;193;29;1.0;2.0
6;109;113.0;120.0;199;5;7.0;7.0
16;105;113.0;132.0;194;13;19.0;19.0
2;74;113.0;131.0;137;12;18.0;18.0
0;82;113.0;132.0;154;15;19.0;19.0
14;84;113.0;134.0;157;23;19.0;21.0
7;78;113.0;115.0;148;22;1.0;2.0
13;73;114.0;115.0;131;4;1.0;1.0
17;114;114.0;137.0;203;3;23.0;23.0
9;79;114.69784886989586;127.69784886989586;151;4;14.0;13.0
13;99;115.0;127.0;180;19;12.0;12.0
7;107;115.0;124.0;198;13;13.0;9.0
12;116;116.0;139.0;210;3;25.0;23.0
6;119;120.0;139.0;214;6;18.0;19.0
18;119;120.0;146.0;213;2;25.0;26.0
19;114;120.0;146.0;204;0;26.0;26.0
10;116;120.8566275930909;145.8566275930909;209;7;26.0;25.0
11;120;122.0;150.0;216;17;29.0;28.0
8;117;122.0;129.0;212;10;6.0;7.0
7;124;124.0;126.0;223;8;3.0;2.0
4;120;126.0;128.0;218;29;3.0;2.0
7;126;126.0;131.0;228;5;6.0;5.0
13;126;127.0;128.0;230;16;1.0;1.0
9;126;127.69784886989586;135.69784886989586;227;12;10.0;8.0
4;116;128.0;150.0;205;11;22.0;22.0
13;124;128.0;131.0;219;16;1.0;3.0
8;127;129.0;130.0;231;11;1.0;1.0
1;119;130.0;155.0;215;16;24.0;25.0
8;130;130.0;137.0;241;10;6.0;7.0
13;128;131.0;132.0;238;22;1.0;1.0
2;126;131.0;134.0;226;23;5.0;3.0
7;124;131.0;132.0;225;20;2.0;1.0
13;117;132.0;150.0;211;9;19.0;18.0
16;127;132.0;133.0;232;0;1.0;1.0
0;129;132.0;144.0;239;28;11.0;12.0
7;128;132.0;134.0;233;20;2.0;2.0
3;132;132.54486997709103;142.54486997709103;243;19;9.0;10.0
16;132;133.0;134.0;242;0;1.0;1.0
16;132;134.0;135.0;246;20;2.0;1.0
2;124;134.0;145.0;222;2;10.0;11.0
7;133;134.0;136.0;247;14;2.0;2.0
14;133;134.0;138.0;251;14;2.0;4.0
15;133;134.0;135.0;250;12;1.0;1.0
16;116;135.0;155.0;206;19;20.0;20.0
15;124;135.0;139.0;221;7;8.0;4.0
9;128;135.69784886989586;138.69784886989586;236;21;2.0;3.0
7;128;136.0;139.0;234;24;5.0;3.0
17;136;137.0;138.0;253;2;1.0;1.0
8;126;137.0;157.0;229;7;18.0;20.0
17;138;138.0;143.0;259;13;4.0;5.0
14;132;138.0;143.0;245;7;5.0;5.0
9;133;138.69784886989586;140.69784886989586;248;20;2.0;2.0
6;136;139.0;168.0;254;12;28.0;29.0
12;128;139.0;154.0;235;15;15.0;15.0
7;133;139.0;157.0;249;15;17.0;18.0
15;137;139.0;140.0;255;17;1.0;1.0
15;138;140.0;141.0;258;12;1.0;1.0
9;137;140.69784886989586;141.69784886989586;257;20;2.0;1.0
15;138;141.0;150.0;261;25;8.0;9.0
9;140;141.69784886989586;142.69784886989586;265;21;2.0;1.0
3;136;142.54486997709103;151.54486997709103;252;14;9.0;9.0
9;140;142.69784886989586;143.69784886989586;263;15;3.0;1.0
17;141;143.0;148.0;266;13;4.0;5.0
14;140;143.0;147.0;264;28;5.0;4.0
9;140;143.69784886989586;163.69784886989586;262;6;20.0;20.0
0;120;144.0;151.0;217;5;4.0;7.0
2;124;145.0;161.0;224;18;17.0;16.0
10;116;145.8566275930909;156.8566275930909;208;0;10.0;11.0
18;132;146.0;147.0;244;3;2.0;1.0
19;128;146.0;171.0;237;0;26.0;25.0
18;137;147.0;153.0;256;20;5.0;6.0
14;130;147.0;152.0;240;25;8.0;5.0
17;148;148.0;172.0;271;3;23.0;24.0
4;150;150.0;151.0;275;12;1.0;1.0
13;146;150.0;152.0;267;22;1.0;2.0
11;148;150.0;152.0;270;8;4.0;2.0
15;148;150.0;154.0;268;24;3.0;4.0
4;148;151.0;153.0;273;10;2.0;2.0
0;149;151.0;166.0;274;22;19.0;15.0
3;148;151.54486997709103;177.54486997709103;269;26;26.0;26.0
13;152;152.0;167.0;277;20;13.0;15.0
11;150;152.0;169.0;276;4;16.0;17.0
4;155;155.0;157.0;278;28;4.0;2.0
18;155;155.0;156.0;279;17;2.0;1.0
16;155;155.0;180.0;280;22;23.0;25.0
1;155;155.0;164.0;281;22;8.0;9.0
18;156;156.0;167.0;284;5;12.0;11.0
14;156;156.0;159.0;282;11;1.0;3.0
12;156;156.0;178.0;283;19;22.0;22.0
10;158;158.0;163.0;285;14;3.0;5.0
4;160;160.0;161.0;289;9;1.0;1.0
15;160;160.0;166.0;286;2;2.0;6.0
14;160;160.0;175.0;290;1;15.0;15.0
7;160;160.0;174.0;287;11;15.0;14.0
4;160;161.0;167.0;288;4;4.0;6.0
2;162;162.0;174.0;292;1;11.0;12.0
10;162;163.0;184.0;293;26;18.0;21.0
9;162;163.69784886989586;188.69784886989586;291;8;26.0;25.0
1;164;164.0;167.0;294;10;1.0;3.0
4;167;167.0;168.0;295;9;1.0;1.0
4;169;169.0;195.0;296;17;26.0;26.0
13;169;169.0;202.0;299;18;27.0;33.0
8;169;169.0;170.0;298;27;1.0;1.0
15;169;169.0;184.0;300;5;14.0;15.0
18;169;169.0;170.0;301;17;2.0;1.0
6;169;169.0;172.0;297;23;2.0;3.0
1;169;169.0;185.0;302;26;16.0;16.0
8;171;171.0;178.0;303;6;7.0;7.0
18;171;171.0;196.0;304;14;25.0;25.0
0;172;172.0;197.0;305;6;24.0;25.0
6;173;173.0;184.0;308;19;10.0;11.0
11;173;173.0;178.0;306;25;3.0;5.0
19;173;173.0;198.0;307;20;26.0;25.0
2;174;174.0;185.0;311;1;11.0;11.0
7;174;174.0;182.0;310;17;7.0;8.0
17;174;174.0;197.0;309;10;24.0;23.0
14;175;175.0;178.0;315;14;2.0;3.0
3;175;177.54486997709103;186.54486997709103;314;14;9.0;9.0
8;177;178.0;188.0;319;9;10.0;10.0
14;176;178.0;180.0;318;14;2.0;2.0
11;176;178.0;181.0;317;8;4.0;3.0
12;175;178.0;180.0;313;20;1.0;2.0
16;180;180.0;184.0;323;29;6.0;4.0
14;179;180.0;186.0;321;9;7.0;6.0
12;176;180.0;197.0;316;23;15.0;17.0
11;177;181.0;192.0;320;19;10.0;11.0
7;180;182.0;198.0;322;11;15.0;16.0
10;183;184.0;200.0;325;15;15.0;16.0
15;181;184.0;197.0;324;4;11.0;13.0
6;186;186.0;204.0;331;20;16.0;18.0
16;186;186.0;191.0;332;25;7.0;5.0
1;186;186.0;193.0;327;17;7.0;7.0
2;186;186.0;189.0;330;25;3.0;3.0
14;186;186.0;191.0;328;28;5.0;5.0
3;186;186.54486997709103;198.54486997709103;326;12;11.0;12.0
8;187;188.0;198.0;336;1;12.0;10.0
2;189;189.0;192.0;337;23;5.0;3.0
5;189;189.12851685072837;207.12851685072837;338;10;21.0;18.0
16;187;191.0;192.0;333;0;1.0;1.0
14;187;191.0;200.0;335;16;8.0;9.0
16;192;192.0;196.0;341;18;3.0;4.0
2;192;192.0;210.0;340;19;17.0;18.0
11;189;192.0;203.0;339;21;9.0;11.0
1;193;193.0;194.0;346;24;3.0;1.0
1;193;194.0;207.0;343;28;11.0;13.0
4;193;195.0;200.0;342;1;4.0;5.0
18;196;196.0;220.0;348;14;25.0;24.0
16;193;196.0;214.0;345;7;18.0;18.0
15;196;197.0;229.0;351;13;27.0;32.0
0;197;197.0;201.0;353;27;4.0;4.0
12;197;197.0;220.0;354;6;22.0;23.0
17;196;197.0;198.0;349;2;1.0;1.0
7;198;198.0;199.0;356;20;2.0;1.0
17;197;198.0;199.0;355;12;1.0;1.0
19;197;198.0;199.0;352;19;1.0;1.0
3;196;198.54486997709103;207.54486997709103;347;8;9.0;9.0
7;199;199.0;213.0;359;13;13.0;14.0
17;199;199.0;217.0;364;25;20.0;18.0
19;198;199.0;226.0;357;20;26.0;27.0
10;199;200.0;230.0;363;20;29.0;30.0
4;199;200.0;203.0;367;21;4.0;3.0
14;199;200.0;217.0;360;18;16.0;17.0
0;199;201.0;220.0;362;15;19.0;19.0
13;199;202.0;203.0;365;12;3.0;1.0
4;199;203.0;211.0;366;19;8.0;8.0
13;202;203.0;223.0;368;6;19.0;20.0
11;199;203.0;208.0;361;13;3.0;5.0
8;204;205.65881390742265;206.65881390742265;370;27;1.0;1.0
8;204;206.65881390742265;216.65881390742265;369;28;11.0;10.0
5;207;207.12851685072837;218.12851685072837;373;3;12.0;11.0
11;208;208.0;224.0;375;4;16.0;16.0
2;209;210.0;233.0;379;14;22.0;23.0
4;207;211.0;236.0;371;17;26.0;25.0
7;213;213.0;228.0;385;11;15.0;15.0
1;213;213.0650111192402;221.0650111192402;384;4;7.0;8.0
16;211;214.0;230.0;383;5;16.0;16.0
6;215;215.43036828682114;243.43036828682114;387;1;27.0;28.0
8;208;216.65881390742265;222.65881390742265;374;6;7.0;6.0
14;217;217.0;231.0;389;1;15.0;14.0
17;209;217.0;223.0;381;15;6.0;6.0
5;199;218.12851685072837;223.12851685072837;358;18;5.0;5.0
18;220;220.0;237.0;395;26;17.0;17.0
0;217;220.0;250.0;388;18;28.0;30.0
12;209;220.0;225.0;377;18;5.0;5.0
1;209;221.0650111192402;229.0650111192402;382;22;8.0;8.0
8;217;222.65881390742265;232.65881390742265;390;19;10.0;10.0
13;219;223.0;224.0;392;12;3.0;1.0
17;219;223.0;233.0;393;6;8.0;10.0
5;219;223.12851685072837;237.12851685072837;394;3;12.0;14.0
13;221;224.0;240.0;396;10;15.0;16.0
11;218;224.0;242.0;391;9;19.0;18.0
12;222;225.0;244.0;397;9;18.0;19.0
19;226;226.0;235.0;399;29;9.0;9.0
7;226;228.0;256.0;398;28;29.0;28.0
3;227;228.03927487418852;240.03927487418852;401;10;11.0;12.0
15;229;229.0;255.0;402;14;27.0;26.0
1;229;229.0650111192402;233.0650111192402;404;24;3.0;4.0
10;230;230.0;233.0;405;2;2.0;3.0
16;230;230.0;234.0;408;3;5.0;4.0
14;229;231.0;236.0;403;7;5.0;5.0
8;232;232.65881390742265;238.65881390742265;410;6;7.0;6.0
10;230;233.0;234.0;407;2;2.0;1.0
2;232;233.0;247.0;411;10;15.0;14.0
17;230;233.0;235.0;409;2;1.0;2.0
1;230;233.0650111192402;246.0650111192402;406;29;14.0;13.0
10;234;234.0;249.0;412;15;15.0;15.0
16;234;234.0;241.0;413;23;7.0;7.0
17;235;235.0;257.0;415;7;23.0;22.0
19;235;235.0;237.0;414;19;1.0;2.0
4;235;236.0;256.0;416;5;19.0;20.0
5;238;238.0;252.0;419;7;15.0;14.0
18;238;238.0;267.0;418;7;28.0;29.0
14;238;238.0;258.0;417;23;19.0;20.0
19;238;238.0;242.0;420;8;5.0;4.0
3;241;241.0;252.0;421;8;9.0;11.0
8;242;242.0;245.0;424;17;2.0;3.0
13;242;242.0;251.0;423;2;11.0;9.0
16;242;242.0;268.0;422;22;23.0;26.0
11;243;243.0;260.0;425;4;16.0;17.0
6;244;244.0;252.0;430;5;7.0;8.0
19;244;244.0;263.0;428;9;17.0;19.0
12;244;244.0;258.0;432;23;15.0;14.0
8;244;245.0;276.0;426;8;29.0;31.0
1;244;246.0650111192402;269.06501111924024;427;14;21.0;23.00000000000003
2;244;247.0;263.0;435;12;18.0;16.0
10;246;249.0;258.0;439;0;10.0;9.0
0;249;250.0;267.0;443;25;15.0;17.0
13;249;251.0;255.0;442;12;3.0;4.0
5;244;252.0;264.0;429;11;12.0;12.0
3;250;252.0;273.0;446;2;21.0;21.0
6;250;252.0;271.0;448;6;18.0;19.0
13;249;255.0;277.0;441;8;22.0;22.0
15;253;255.0;285.0;449;18;29.0;30.0
4;255;256.0;262.0;450;28;4.0;6.0
7;255;256.0;260.0;452;3;3.0;4.0
17;256;257.0;265.0;454;6;8.0;8.0
9;256;257.28215047293696;260.28215047293696;453;20;2.0;3.0
10;244;258.0;263.0;433;22;4.0;5.0
14;244;258.0;280.0;436;23;19.0;22.0
12;249;258.0;266.0;444;8;9.0;8.0
11;260;260.0;267.0;458;1;7.0;7.0
7;244;260.0;270.0;438;5;6.0;10.0
9;260;260.28215047293696;277.28215047293696;457;9;17.0;17.0
4;261;262.0;275.0;460;13;14.0;13.0
10;261;263.0;274.0;463;18;9.0;11.0
2;259;263.0;289.0;455;9;26.0;26.0
19;244;263.0;283.0;434;26;20.0;20.0
5;262;264.0;280.0;464;21;17.0;16.0
17;262;265.0;287.0;465;21;19.0;22.0
12;264;266.0;270.0;466;4;6.0;4.0
18;267;267.0;279.0;477;24;11.0;12.0
0;267;267.0;289.0;471;13;23.0;22.0
11;267;267.0;277.0;473;18;8.0;10.0
16;267;268.0;276.0;470;10;10.0;8.0
1;267;269.06501111924024;286.06501111924024;475;0;18.0;17.0
12;264;270.0;274.0;469;12;8.0;4.0
7;260;270.0;276.0;456;18;4.0;6.0
6;267;271.0;278.0;474;14;7.0;7.0
3;269;273.0;289.0;479;18;17.0;16.0
10;267;274.0;299.0;476;7;26.0;25.0
12;264;274.0;299.0;467;3;25.0;25.0
4;272;275.0;276.0;484;15;2.0;1.0
4;270;276.0;282.0;482;19;8.0;6.0
8;274;276.0;297.0;493;4;23.0;21.0
16;273;276.0;278.0;488;20;2.0;2.0
7;274;276.0;281.0;491;24;5.0;5.0
11;274;277.0;278.0;492;2;4.0;1.0
9;272;277.28215047293696;278.28215047293696;485;18;3.0;1.0
6;273;278.0;281.0;487;23;2.0;3.0
